Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,,
12/31/2017,60081,6010,CT,Hartford,Hartford,Bristol,92,172900,-0.000578035,-0.002883506,-0.006321839,,
12/31/2017,62032,11221,NY,New York,Kings,New York,93,1014900,-0.00762687,0.001875617,0.043921004,,
12/31/2017,72363,33025,FL,Miami-Fort Lauderdale,Broward,Miramar,94,216700,-0.001842469,0.021206409,0.079183267,,
12/31/2017,84612,60610,IL,Chicago,Cook,Chicago,95,272200,-0.002199413,0.004798819,0.094051447,,
12/31/2017,71005,30281,GA,Atlanta,Henry,Stockbridge,96,149900,0.000667557,0.002675585,0.061614731,,
12/31/2017,95804,89108,NV,Las Vegas,Clark,Las Vegas,97,191300,0.008966245,0.045926736,0.175061425,,
12/31/2017,92336,78240,TX,San Antonio,Bexar,San Antonio,98,171700,0.0046811,0.012382075,0.058569667,,
12/31/2017,94820,85225,AZ,Phoenix,Maricopa,Chandler,99,245200,0.000407997,0.01071723,0.07496712,,
12/31/2017,91926,77433,TX,Houston,Harris,Cypress,100,224900,0.006263982,0.010786517,0.056860902,,
12/31/2017,58669,2169,MA,Boston,Norfolk,Quincy,101,402300,0.009029345,0.026799387,0.047929148,,
12/31/2017,72347,33009,FL,Miami-Fort Lauderdale,Broward,Hallandale,102,206700,0.000968523,0.016724053,0.062724936,,
12/31/2017,64180,15601,PA,Pittsburgh,Westmoreland,Greensburg,103,143900,0.005590496,0.014809591,0.017680339,,
12/31/2017,97431,93722,CA,Fresno,Fresno,Fresno,104,232800,0.005181347,0.014821273,0.071823204,,
12/31/2017,79040,48180,MI,Detroit,Wayne,Taylor,105,92700,0.005422993,0.02092511,0.08168028,,
12/31/2017,92341,78245,TX,San Antonio,Bexar,San Antonio,106,156700,0.007717042,0.019518543,0.121689334,,
12/31/2017,65133,17603,PA,Lancaster,Lancaster,Lancaster,107,151100,0.003320053,0.016139879,0.061095506,,
12/31/2017,98304,95608,CA,Sacramento,Sacramento,Carmichael,108,385400,0.003907268,0.020116464,0.075634943,,
12/31/2017,94890,85308,AZ,Phoenix,Maricopa,Glendale,109,278400,0.001799208,0.013100437,0.058957779,,
12/31/2017,97740,94533,CA,Vallejo,Solano,Fairfield,110,364300,0.016178522,0.0299689,0.122304375,,
12/31/2017,84613,60611,IL,Chicago,Cook,Chicago,111,303600,-0.005242464,-0.019379845,0.005631004,,
12/31/2017,76491,43055,OH,Columbus,Licking,Newark,112,113300,0,0.00890472,0.063849765,,
12/31/2017,63776,14850,NY,Ithaca,Tompkins,Ithaca,113,251800,0.008410092,0.016552281,0.034086242,,
12/31/2017,95309,87114,NM,Albuquerque,Bernalillo,Albuquerque,114,211600,0.002843602,0.009541985,0.053260329,,
12/31/2017,72362,33024,FL,Miami-Fort Lauderdale,Broward,Pembroke Pines,115,255600,0.001175088,0.024859663,0.119579501,,
12/31/2017,93203,80013,CO,Denver,Arapahoe,Aurora,116,322500,0.009073842,0.021539436,0.082214765,,
12/31/2017,66705,20906,MD,Washington,Montgomery,Silver Spring,117,326000,-0.003971891,-0.006400488,0.007105344,,
12/31/2017,74156,37075,TN,Nashville,Sumner,Hendersonville,118,272100,0.006286982,0.022932331,0.081908549,,
12/31/2017,62022,11211,NY,New York,Kings,New York,119,1100000,0.001001001,0.029673313,0.017105871,,
12/31/2017,96047,90066,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,120,1284000,0.006821924,0.034149485,0.074387081,,
12/31/2017,62093,11385,NY,New York,Queens,New York,121,652300,0.000613591,0.006946588,0.098703049,,
12/31/2017,94870,85281,AZ,Phoenix,Maricopa,Tempe,122,226600,0.001768347,0.010254124,0.069372345,,
12/31/2017,76971,44060,OH,Cleveland,Lake,Mentor,123,163900,-0.000609756,0.004904966,0.022457891,,
12/31/2017,76511,43081,OH,Columbus,Franklin,Westerville,124,208900,0.01457018,0.0445,0.089723526,,
12/31/2017,69672,28027,NC,Charlotte,Cabarrus,Concord,125,207400,0.004844961,0.023692004,0.07628438,,
12/31/2017,94940,85364,AZ,Yuma,Yuma,Yuma,126,128300,0.000780031,0.008647799,0.016640254,,
12/31/2017,61169,8753,NJ,New York,Ocean,Toms River,127,261900,0.00537428,0.004602992,0.010806638,,
12/31/2017,96987,92677,CA,Los Angeles-Long Beach-Anaheim,Orange,Laguna Niguel,128,819500,0.007004178,0.016371078,0.03984266,,
12/31/2017,96467,91709,CA,Riverside,San Bernardino,Chino Hills,129,650200,0.007749535,0.018324197,0.052614538,,
12/31/2017,87019,65807,MO,Springfield,Greene,Springfield,130,115900,0.010462075,0.020246479,0.007826087,,
12/31/2017,84622,60620,IL,Chicago,Cook,Chicago,131,137600,0.002184996,0.012509198,0.020014826,,
12/31/2017,90637,75034,TX,Dallas-Fort Worth,Collin,Frisco,132,436700,0.003677316,0.015581395,0.045487192,,
12/31/2017,84635,60634,IL,Chicago,Cook,Chicago,133,249300,0.006053269,0.015065147,-0.003597122,,
12/31/2017,98432,95823,CA,Sacramento,Sacramento,Sacramento,134,265500,0.001508865,0.014908257,0.079707198,,
12/31/2017,97023,92804,CA,Los Angeles-Long Beach-Anaheim,Orange,Anaheim,135,556400,0.003607504,0.011084863,0.04704554,,
12/31/2017,69340,27410,NC,,Guilford,Greensboro,136,210400,0.005255614,0.009596929,0.064777328,,
12/31/2017,60499,6902,CT,Stamford,Fairfield,Stamford,137,379400,0.005299417,0.016885553,0.054474708,,
12/31/2017,76534,43123,OH,Columbus,Franklin,Grove City,138,169600,0.011329756,0.029751063,0.069356873,,
12/31/2017,66135,20011,DC,Washington,District of Columbia,Washington,139,550700,0.00090876,0.00823874,0.011758222,,
12/31/2017,84285,60016,IL,Chicago,Cook,Des Plaines,140,214200,0.003278689,0.00990099,0.061973228,,
12/31/2017,96651,92109,CA,San Diego,San Diego,San Diego,141,851400,0.015990453,0.061331339,0.153971266,,
12/31/2017,77400,45011,OH,Cincinnati,Butler,Hamilton,142,185200,-0.000539665,0.008165487,0.060103034,,
12/31/2017,84629,60628,IL,Chicago,Cook,Chicago,143,115400,0.012280702,0.02214349,0.08153702,,
12/31/2017,96000,90019,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,144,1115700,0.012523822,0.044271808,0.15472987,,
12/31/2017,96546,91911,CA,San Diego,San Diego,Chula Vista,145,453200,0.006440151,0.015688032,0.051752147,,
12/31/2017,77094,44256,OH,Cleveland,Medina,Medina,146,211500,0.000473037,0.013902205,0.049627792,,
12/31/2017,91198,76028,TX,Dallas-Fort Worth,Johnson,Burleson,147,197300,0.001522843,0.012314007,0.084661902,,
12/31/2017,72901,33908,FL,Fort Myers,Lee,Fort Myers,148,237200,0.005937235,0.006791171,-0.007115948,,
12/31/2017,95817,89121,NV,Las Vegas,Clark,Las Vegas,149,192200,0.007337526,0.042864894,0.179141104,,
12/31/2017,58660,2148,MA,Boston,Middlesex,Malden,150,423500,0.006894912,0.027663189,0.123640223,,
12/31/2017,72737,33647,FL,Tampa,Hillsborough,Tampa,151,274100,0.002927186,0.01480933,0.046582665,,
12/31/2017,95813,89117,NV,Las Vegas,Clark,Las Vegas,152,303400,0.0066357,0.039041096,0.109323583,,
12/31/2017,78823,47906,IN,Lafayette-West Lafayette,Tippecanoe,West Lafayette,153,187200,0.002678093,0.025753425,0.093457944,,
12/31/2017,96825,92345,CA,Riverside,San Bernardino,Hesperia,154,239800,0.005872483,0.01481168,0.096980787,,
12/31/2017,76539,43130,OH,Columbus,Fairfield,Lancaster,155,134900,0.003720238,0.015813253,0.051441933,,
12/31/2017,62046,11236,NY,New York,Kings,New York,156,441600,0.012147605,0.024118738,0.07786185,,
12/31/2017,69849,28314,NC,Fayetteville,Cumberland,Fayetteville,157,104900,0,-0.00190295,0.049,,
12/31/2017,75696,40475,KY,Richmond,Madison,Richmond,158,168200,0,0.016314199,0.108036891,,
12/31/2017,97743,94536,CA,San Francisco,Alameda,Fremont,159,983800,0.012660834,0.036233411,0.096155989,,
12/31/2017,96882,92503,CA,Riverside,Riverside,Riverside,160,361400,-0.000276625,0.008370536,0.065762312,,
12/31/2017,86717,65203,MO,Columbia,Boone,Columbia,161,199300,-0.005985037,-0.01140873,0.006565657,,
12/31/2017,60518,7002,NJ,New York,Hudson,Bayonne,162,363700,0.015071169,0.04391504,0.135497971,,
12/31/2017,65779,19111,PA,Philadelphia,Philadelphia,Philadelphia,163,173100,0.003478261,0.018834609,0.0658867,,
12/31/2017,96667,92126,CA,San Diego,San Diego,San Diego,164,563600,0.005530776,0.017512186,0.046999814,,
12/31/2017,69336,27406,NC,,Guilford,Greensboro,165,116600,0.006908463,0.013913043,0.065813528,,
12/31/2017,96477,91730,CA,Riverside,San Bernardino,Rancho Cucamonga,166,426800,0.005418139,0.01305483,0.067,,
12/31/2017,96083,90201,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Bell,167,479400,0.006931317,0.01848311,0.104862872,,
12/31/2017,99142,97229,OR,Portland,Washington,Cedar Mill,168,539700,0.0009273,0.0009273,0.016958734,,
12/31/2017,70698,29732,SC,Charlotte,York,Rock Hill,169,183500,0.006030702,0.022853958,0.087729698,,
12/31/2017,69450,27610,NC,Raleigh,Wake,Raleigh,170,156900,0.00512492,0.020156047,0.097970609,,
12/31/2017,99563,98103,WA,Seattle,King,Seattle,171,792700,0.009680296,0.03458627,0.174718435,,
12/31/2017,61797,10457,NY,New York,Bronx,New York,172,395900,0.009176651,0.026445424,0.118361582,,
12/31/2017,67010,21740,MD,Hagerstown,Washington,Hagerstown,173,155300,-0.001928021,0.013046314,0.049324324,,
12/31/2017,91744,77095,TX,Houston,Harris,Houston,174,218600,0.005519779,0.009699769,0.029674988,,
12/31/2017,72247,32822,FL,Orlando,Orange,Orlando,175,153600,0.009198423,0.031564809,0.146268657,,
12/31/2017,67180,22191,VA,Washington,Prince William,Woodbridge,176,300500,0.005016722,0.022456618,0.031936813,,
12/31/2017,96125,90280,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,South Gate,177,432200,0.007929104,0.022232734,0.083479569,,
12/31/2017,84628,60626,IL,Chicago,Cook,Chicago,178,152700,0.001968504,0.016644474,0.025520484,,
12/31/2017,96934,92592,CA,Riverside,Riverside,Temecula,179,449600,-0.002661934,0.006717421,0.055646865,,
12/31/2017,95314,87120,NM,Albuquerque,Bernalillo,Albuquerque,180,187100,0.004294149,0.009169364,0.024083196,,
12/31/2017,99500,98012,WA,Seattle,Snohomish,Bothell,181,538000,0.009380863,0.032629559,0.165258826,,
12/31/2017,95985,90004,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,182,1391200,0.007896834,0.058832483,0.013255645,,
12/31/2017,96817,92336,CA,Riverside,San Bernardino,Fontana,183,428700,0.005158265,0.013235642,0.049192364,,
12/31/2017,70842,30062,GA,Atlanta,Cobb,Marietta,184,320500,0.004702194,0.01456157,0.049443353,,
12/31/2017,78085,46307,IN,Chicago,Lake,Crown Point,185,206100,0.005365854,0.02029703,0.039858729,,
12/31/2017,72350,33012,FL,Miami-Fort Lauderdale,Miami-Dade,Hialeah,186,210800,0.005245589,0.023300971,0.099061522,,
12/31/2017,93263,80134,CO,Denver,Douglas,Parker,187,452200,0.00444247,0.018468468,0.074875208,,
12/31/2017,67722,23454,VA,Virginia Beach,Virginia Beach City,Virginia Beach,188,282200,-0.002474373,0.000354484,0.035216434,,
12/31/2017,78042,46227,IN,Indianapolis,Marion,Indianapolis,189,126600,0.009569378,0.027597403,0.052369077,,
12/31/2017,90226,74012,OK,Tulsa,Tulsa,Broken Arrow,190,155000,0.00388601,0.021753461,0.012410189,,
12/31/2017,66785,21117,MD,Baltimore,Baltimore,Owings Mills,191,241200,0,-0.00206868,0.002910603,,
12/31/2017,96208,90706,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Bellflower,192,509700,0.006516588,0.022467402,0.086317136,,
12/31/2017,84647,60649,IL,Chicago,Cook,Chicago,193,126500,-0.003937008,-0.009397024,0.106736658,,
12/31/2017,60599,7093,NJ,New York,Hudson,West New York,194,357000,-0.007782101,-0.006677796,0.112496105,,
12/31/2017,100179,99301,WA,Kennewick,Franklin,Pasco,195,204900,0,0.019402985,0.100429646,,
12/31/2017,71895,32244,FL,Jacksonville,Duval,Jacksonville,196,145900,0.011088011,0.025298665,0.115443425,,
12/31/2017,62043,11233,NY,New York,Kings,New York,197,731600,-0.001092299,0.003566529,0.058449074,,
12/31/2017,78975,48103,MI,Ann Arbor,Washtenaw,Ann Arbor,198,355200,0.007945516,0.019225251,0.070201868,,
12/31/2017,72488,33186,FL,Miami-Fort Lauderdale,Miami-Dade,The Crossings,199,292400,-0.002388263,0.004465819,0.061343013,,
12/31/2017,96816,92335,CA,Riverside,San Bernardino,Fontana,200,329300,0.007649939,0.01385468,0.086440119,,
12/31/2017,96590,92021,CA,San Diego,San Diego,El Cajon,201,465700,0.003231366,0.01085305,0.064213894,,
12/31/2017,95043,85705,AZ,Tucson,Pima,Tucson,202,141000,0.006423983,0.034482759,0.141700405,,
12/31/2017,66142,20019,DC,Washington,District of Columbia,Washington,203,300500,0.002669336,0.019681032,0.10762993,,
12/31/2017,91221,76063,TX,Dallas-Fort Worth,Tarrant,Mansfield,204,262200,0.001910585,0.006139678,0.055555556,,
12/31/2017,76597,43230,OH,Columbus,Franklin,Gahanna,205,195700,0.010325245,0.026757608,0.08121547,,
12/31/2017,67655,23320,VA,Virginia Beach,Chesapeake City,Chesapeake,206,238400,0.001680672,0.004635483,0.001680672,,
12/31/2017,67182,22193,VA,Washington,Prince William,Woodbridge,207,310100,0.007472385,0.026481298,0.057639836,,
12/31/2017,97118,93065,CA,Ventura,Ventura,Simi Valley,208,560700,0.002323918,0.0133743,0.058523693,,
12/31/2017,77850,45840,OH,Findlay,Hancock,Findlay,209,137800,0.007309942,0.013980868,0.005839416,,
12/31/2017,90769,75217,TX,Dallas-Fort Worth,Dallas,Dallas,210,93500,0.036585366,0.080924855,0.138855055,,
12/31/2017,79044,48185,MI,Detroit,Wayne,Westland,211,139700,0.001433692,0.010122921,0.048012003,,
12/31/2017,69533,27834,NC,Greenville,Pitt,Greenville,212,89700,-0.007743363,0.006734007,0.03699422,,
12/31/2017,77030,44130,OH,Cleveland,Cuyahoga,Parma Heights,213,130300,0.005401235,0.016380655,0.067158067,,
12/31/2017,96643,92101,CA,San Diego,San Diego,San Diego,214,557000,0.000718649,0.004508566,0.014941691,,
12/31/2017,96368,91342,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,215,498600,0.004836759,0.022140221,0.089359843,,
12/31/2017,62034,11223,NY,New York,Kings,New York,216,848900,0.00047142,0.007237779,0.019944731,,
12/31/2017,71050,30331,GA,Atlanta,Fulton,Atlanta,217,132300,0.002272727,0.004555809,0.066075745,,
12/31/2017,66683,20878,MD,Washington,Montgomery,Gaithersburg,218,525300,-0.003225806,-0.00680658,-0.000950932,,
12/31/2017,70859,30080,GA,Atlanta,Cobb,Smyrna,219,243600,0.007027697,0.024390244,0.096309631,,
12/31/2017,96959,92627,CA,Los Angeles-Long Beach-Anaheim,Orange,Costa Mesa,220,714000,0.001964637,0.000981354,0.018399658,,
12/31/2017,72530,33311,FL,Miami-Fort Lauderdale,Broward,Fort Lauderdale,221,178800,0.003367003,0.04991192,0.247732031,,
12/31/2017,69555,27858,NC,Greenville,Pitt,Greenville,222,144000,0,0.011946592,0.019830028,,
12/31/2017,70953,30188,GA,Atlanta,Cherokee,Woodstock,223,221700,0.005898367,0.025913929,0.079883098,,
12/31/2017,58666,2155,MA,Boston,Middlesex,Medford,224,559800,0.008103728,0.032269961,0.13618835,,
12/31/2017,74187,37130,TN,Nashville,Rutherford,Murfreesboro,225,192000,0.006289308,0.016410799,0.11822947,,
12/31/2017,95992,90011,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,226,396100,-0.001512478,0.004310345,0.084017515,,
12/31/2017,95315,87121,NM,Albuquerque,Bernalillo,Albuquerque,227,137500,0.014011799,0.023065476,0.037735849,,
12/31/2017,76796,43701,OH,Zanesville,Muskingum,Zanesville,228,109700,0.008272059,0.015740741,0.070243902,,
12/31/2017,71902,32256,FL,Jacksonville,Duval,Jacksonville,229,171600,0.009411765,0.010600707,0.050183599,,
12/31/2017,72365,33027,FL,Miami-Fort Lauderdale,Broward,Miramar,230,313900,0.002555094,0.016844833,0.038372478,,
12/31/2017,67787,23666,VA,Virginia Beach,Hampton City,Hampton,231,169900,0.00117855,0.007113219,0.004730928,,
12/31/2017,65791,19124,PA,Philadelphia,Philadelphia,Philadelphia,232,91100,0.00220022,0.020156775,0.078106509,,
12/31/2017,96006,90025,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,233,935500,0.011679464,0.036909776,0.107887257,,
12/31/2017,70808,30022,GA,Atlanta,Fulton,Johns Creek,234,390700,-0.003062006,-0.003062006,0.009299923,,
